# ln(x) rounding bounds for all valid bfloat16 inputs (MPFR 4.2.1)
# lb=(y_prev+y)/2, ub=(y+y_next)/2; edge open/closed by ties-to-even
#   y even -> [lb,ub] rounds to y (closed); y odd -> (lb,ub) (open)
# columns: u,i1,i2,scope,edge,lb_hex,ub_hex,y_hex,y_bits,lb_dec,ub_dec
91,0,91,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
92,0,92,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
93,0,93,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
94,0,94,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
95,0,95,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
96,0,96,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
97,0,97,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
98,0,98,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
99,0,99,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
100,0,100,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
101,0,101,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
102,0,102,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
103,0,103,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
104,0,104,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
105,0,105,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
106,0,106,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
107,0,107,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
108,0,108,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
109,0,109,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
110,0,110,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
111,0,111,NON-LP,open,-0x5.7cp+4,-0x5.74p+4,-0x5.78p+4,0xC2AF,-87.75,-87.25
