# ln(x) rounding bounds for all valid bfloat16 inputs (MPFR 4.2.1)
# lb=(y_prev+y)/2, ub=(y+y_next)/2; edge open/closed by ties-to-even
#   y even -> [lb,ub] rounds to y (closed); y odd -> (lb,ub) (open)
# columns: u,i1,i2,scope,edge,lb_hex,ub_hex,y_hex,y_bits,lb_dec,ub_dec
15995,124,123,LP,closed,-0x1.69p+0,-0x1.67p+0,-0x1.68p+0,0xBFB4,-1.41015625,-1.40234375
15996,124,124,LP,open,-0x1.67p+0,-0x1.65p+0,-0x1.66p+0,0xBFB3,-1.40234375,-1.39453125
15997,124,125,LP,open,-0x1.67p+0,-0x1.65p+0,-0x1.66p+0,0xBFB3,-1.40234375,-1.39453125
15998,124,126,LP,closed,-0x1.65p+0,-0x1.63p+0,-0x1.64p+0,0xBFB2,-1.39453125,-1.38671875
15999,124,127,LP,closed,-0x1.65p+0,-0x1.63p+0,-0x1.64p+0,0xBFB2,-1.39453125,-1.38671875
16000,125,0,LP,open,-0x1.63p+0,-0x1.61p+0,-0x1.62p+0,0xBFB1,-1.38671875,-1.37890625
16001,125,1,LP,closed,-0x1.61p+0,-0x1.5fp+0,-0x1.6p+0,0xBFB0,-1.37890625,-1.37109375
16002,125,2,LP,open,-0x1.5fp+0,-0x1.5dp+0,-0x1.5ep+0,0xBFAF,-1.37109375,-1.36328125
16003,125,3,LP,closed,-0x1.5dp+0,-0x1.5bp+0,-0x1.5cp+0,0xBFAE,-1.36328125,-1.35546875
16004,125,4,LP,closed,-0x1.5dp+0,-0x1.5bp+0,-0x1.5cp+0,0xBFAE,-1.36328125,-1.35546875
16005,125,5,LP,open,-0x1.5bp+0,-0x1.59p+0,-0x1.5ap+0,0xBFAD,-1.35546875,-1.34765625
16006,125,6,LP,closed,-0x1.59p+0,-0x1.57p+0,-0x1.58p+0,0xBFAC,-1.34765625,-1.33984375
16007,125,7,LP,open,-0x1.57p+0,-0x1.55p+0,-0x1.56p+0,0xBFAB,-1.33984375,-1.33203125
16008,125,8,LP,closed,-0x1.55p+0,-0x1.53p+0,-0x1.54p+0,0xBFAA,-1.33203125,-1.32421875
16009,125,9,LP,open,-0x1.53p+0,-0x1.51p+0,-0x1.52p+0,0xBFA9,-1.32421875,-1.31640625
16010,125,10,LP,closed,-0x1.51p+0,-0x1.4fp+0,-0x1.5p+0,0xBFA8,-1.31640625,-1.30859375
16011,125,11,LP,open,-0x1.4fp+0,-0x1.4dp+0,-0x1.4ep+0,0xBFA7,-1.30859375,-1.30078125
16012,125,12,LP,closed,-0x1.4dp+0,-0x1.4bp+0,-0x1.4cp+0,0xBFA6,-1.30078125,-1.29296875
16013,125,13,LP,open,-0x1.4bp+0,-0x1.49p+0,-0x1.4ap+0,0xBFA5,-1.29296875,-1.28515625
16014,125,14,LP,closed,-0x1.49p+0,-0x1.47p+0,-0x1.48p+0,0xBFA4,-1.28515625,-1.27734375
16015,125,15,LP,open,-0x1.47p+0,-0x1.45p+0,-0x1.46p+0,0xBFA3,-1.27734375,-1.26953125
16016,125,16,LP,closed,-0x1.45p+0,-0x1.43p+0,-0x1.44p+0,0xBFA2,-1.26953125,-1.26171875
16017,125,17,LP,open,-0x1.43p+0,-0x1.41p+0,-0x1.42p+0,0xBFA1,-1.26171875,-1.25390625
16018,125,18,LP,open,-0x1.43p+0,-0x1.41p+0,-0x1.42p+0,0xBFA1,-1.26171875,-1.25390625
16019,125,19,LP,closed,-0x1.41p+0,-0x1.3fp+0,-0x1.4p+0,0xBFA0,-1.25390625,-1.24609375
16020,125,20,LP,open,-0x1.3fp+0,-0x1.3dp+0,-0x1.3ep+0,0xBF9F,-1.24609375,-1.23828125
16021,125,21,LP,closed,-0x1.3dp+0,-0x1.3bp+0,-0x1.3cp+0,0xBF9E,-1.23828125,-1.23046875
16022,125,22,LP,open,-0x1.3bp+0,-0x1.39p+0,-0x1.3ap+0,0xBF9D,-1.23046875,-1.22265625
16023,125,23,LP,closed,-0x1.39p+0,-0x1.37p+0,-0x1.38p+0,0xBF9C,-1.22265625,-1.21484375
16024,125,24,LP,open,-0x1.37p+0,-0x1.35p+0,-0x1.36p+0,0xBF9B,-1.21484375,-1.20703125
16025,125,25,LP,open,-0x1.37p+0,-0x1.35p+0,-0x1.36p+0,0xBF9B,-1.21484375,-1.20703125
16026,125,26,LP,closed,-0x1.35p+0,-0x1.33p+0,-0x1.34p+0,0xBF9A,-1.20703125,-1.19921875
16027,125,27,LP,open,-0x1.33p+0,-0x1.31p+0,-0x1.32p+0,0xBF99,-1.19921875,-1.19140625
16028,125,28,LP,closed,-0x1.31p+0,-0x1.2fp+0,-0x1.3p+0,0xBF98,-1.19140625,-1.18359375
16029,125,29,LP,open,-0x1.2fp+0,-0x1.2dp+0,-0x1.2ep+0,0xBF97,-1.18359375,-1.17578125
16030,125,30,LP,closed,-0x1.2dp+0,-0x1.2bp+0,-0x1.2cp+0,0xBF96,-1.17578125,-1.16796875
16031,125,31,LP,closed,-0x1.2dp+0,-0x1.2bp+0,-0x1.2cp+0,0xBF96,-1.17578125,-1.16796875
16032,125,32,LP,open,-0x1.2bp+0,-0x1.29p+0,-0x1.2ap+0,0xBF95,-1.16796875,-1.16015625
16033,125,33,LP,closed,-0x1.29p+0,-0x1.27p+0,-0x1.28p+0,0xBF94,-1.16015625,-1.15234375
16034,125,34,LP,open,-0x1.27p+0,-0x1.25p+0,-0x1.26p+0,0xBF93,-1.15234375,-1.14453125
16035,125,35,LP,open,-0x1.27p+0,-0x1.25p+0,-0x1.26p+0,0xBF93,-1.15234375,-1.14453125
16036,125,36,LP,closed,-0x1.25p+0,-0x1.23p+0,-0x1.24p+0,0xBF92,-1.14453125,-1.13671875
16037,125,37,LP,open,-0x1.23p+0,-0x1.21p+0,-0x1.22p+0,0xBF91,-1.13671875,-1.12890625
16038,125,38,LP,closed,-0x1.21p+0,-0x1.1fp+0,-0x1.2p+0,0xBF90,-1.12890625,-1.12109375
16039,125,39,LP,open,-0x1.1fp+0,-0x1.1dp+0,-0x1.1ep+0,0xBF8F,-1.12109375,-1.11328125
16040,125,40,LP,open,-0x1.1fp+0,-0x1.1dp+0,-0x1.1ep+0,0xBF8F,-1.12109375,-1.11328125
16041,125,41,LP,closed,-0x1.1dp+0,-0x1.1bp+0,-0x1.1cp+0,0xBF8E,-1.11328125,-1.10546875
16042,125,42,LP,open,-0x1.1bp+0,-0x1.19p+0,-0x1.1ap+0,0xBF8D,-1.10546875,-1.09765625
16043,125,43,LP,closed,-0x1.19p+0,-0x1.17p+0,-0x1.18p+0,0xBF8C,-1.09765625,-1.08984375
16044,125,44,LP,closed,-0x1.19p+0,-0x1.17p+0,-0x1.18p+0,0xBF8C,-1.09765625,-1.08984375
16045,125,45,LP,open,-0x1.17p+0,-0x1.15p+0,-0x1.16p+0,0xBF8B,-1.08984375,-1.08203125
16046,125,46,LP,closed,-0x1.15p+0,-0x1.13p+0,-0x1.14p+0,0xBF8A,-1.08203125,-1.07421875
16047,125,47,LP,open,-0x1.13p+0,-0x1.11p+0,-0x1.12p+0,0xBF89,-1.07421875,-1.06640625
16048,125,48,LP,open,-0x1.13p+0,-0x1.11p+0,-0x1.12p+0,0xBF89,-1.07421875,-1.06640625
16049,125,49,LP,closed,-0x1.11p+0,-0x1.0fp+0,-0x1.1p+0,0xBF88,-1.06640625,-1.05859375
16050,125,50,LP,open,-0x1.0fp+0,-0x1.0dp+0,-0x1.0ep+0,0xBF87,-1.05859375,-1.05078125
16051,125,51,LP,open,-0x1.0fp+0,-0x1.0dp+0,-0x1.0ep+0,0xBF87,-1.05859375,-1.05078125
16052,125,52,LP,closed,-0x1.0dp+0,-0x1.0bp+0,-0x1.0cp+0,0xBF86,-1.05078125,-1.04296875
16053,125,53,LP,open,-0x1.0bp+0,-0x1.09p+0,-0x1.0ap+0,0xBF85,-1.04296875,-1.03515625
16054,125,54,LP,closed,-0x1.09p+0,-0x1.07p+0,-0x1.08p+0,0xBF84,-1.03515625,-1.02734375
16055,125,55,LP,closed,-0x1.09p+0,-0x1.07p+0,-0x1.08p+0,0xBF84,-1.03515625,-1.02734375
16056,125,56,LP,open,-0x1.07p+0,-0x1.05p+0,-0x1.06p+0,0xBF83,-1.02734375,-1.01953125
16057,125,57,LP,closed,-0x1.05p+0,-0x1.03p+0,-0x1.04p+0,0xBF82,-1.01953125,-1.01171875
16058,125,58,LP,closed,-0x1.05p+0,-0x1.03p+0,-0x1.04p+0,0xBF82,-1.01953125,-1.01171875
16059,125,59,LP,open,-0x1.03p+0,-0x1.01p+0,-0x1.02p+0,0xBF81,-1.01171875,-1.00390625
16060,125,60,LP,closed,-0x1.01p+0,-0xf.f8p-4,-0x1p+0,0xBF80,-1.00390625,-0.998046875
16061,125,61,LP,open,-0xf.f8p-4,-0xf.e8p-4,-0xf.fp-4,0xBF7F,-0.998046875,-0.994140625
16062,125,62,LP,closed,-0xf.e8p-4,-0xf.d8p-4,-0xf.ep-4,0xBF7E,-0.994140625,-0.990234375
16063,125,63,LP,closed,-0xf.c8p-4,-0xf.b8p-4,-0xf.cp-4,0xBF7C,-0.986328125,-0.982421875
16064,125,64,LP,open,-0xf.b8p-4,-0xf.a8p-4,-0xf.bp-4,0xBF7B,-0.982421875,-0.978515625
16065,125,65,LP,closed,-0xf.a8p-4,-0xf.98p-4,-0xf.ap-4,0xBF7A,-0.978515625,-0.974609375
16066,125,66,LP,closed,-0xf.88p-4,-0xf.78p-4,-0xf.8p-4,0xBF78,-0.970703125,-0.966796875
16067,125,67,LP,open,-0xf.78p-4,-0xf.68p-4,-0xf.7p-4,0xBF77,-0.966796875,-0.962890625
16068,125,68,LP,closed,-0xf.68p-4,-0xf.58p-4,-0xf.6p-4,0xBF76,-0.962890625,-0.958984375
16069,125,69,LP,open,-0xf.58p-4,-0xf.48p-4,-0xf.5p-4,0xBF75,-0.958984375,-0.955078125
16070,125,70,LP,open,-0xf.38p-4,-0xf.28p-4,-0xf.3p-4,0xBF73,-0.951171875,-0.947265625
16071,125,71,LP,closed,-0xf.28p-4,-0xf.18p-4,-0xf.2p-4,0xBF72,-0.947265625,-0.943359375
16072,125,72,LP,open,-0xf.18p-4,-0xf.08p-4,-0xf.1p-4,0xBF71,-0.943359375,-0.939453125
16073,125,73,LP,open,-0xe.f8p-4,-0xe.e8p-4,-0xe.fp-4,0xBF6F,-0.935546875,-0.931640625
16074,125,74,LP,closed,-0xe.e8p-4,-0xe.d8p-4,-0xe.ep-4,0xBF6E,-0.931640625,-0.927734375
16075,125,75,LP,open,-0xe.d8p-4,-0xe.c8p-4,-0xe.dp-4,0xBF6D,-0.927734375,-0.923828125
16076,125,76,LP,closed,-0xe.c8p-4,-0xe.b8p-4,-0xe.cp-4,0xBF6C,-0.923828125,-0.919921875
16077,125,77,LP,closed,-0xe.a8p-4,-0xe.98p-4,-0xe.ap-4,0xBF6A,-0.916015625,-0.912109375
16078,125,78,LP,open,-0xe.98p-4,-0xe.88p-4,-0xe.9p-4,0xBF69,-0.912109375,-0.908203125
16079,125,79,LP,closed,-0xe.88p-4,-0xe.78p-4,-0xe.8p-4,0xBF68,-0.908203125,-0.904296875
16080,125,80,LP,open,-0xe.78p-4,-0xe.68p-4,-0xe.7p-4,0xBF67,-0.904296875,-0.900390625
16081,125,81,LP,open,-0xe.58p-4,-0xe.48p-4,-0xe.5p-4,0xBF65,-0.896484375,-0.892578125
16082,125,82,LP,closed,-0xe.48p-4,-0xe.38p-4,-0xe.4p-4,0xBF64,-0.892578125,-0.888671875
16083,125,83,LP,open,-0xe.38p-4,-0xe.28p-4,-0xe.3p-4,0xBF63,-0.888671875,-0.884765625
16084,125,84,LP,closed,-0xe.28p-4,-0xe.18p-4,-0xe.2p-4,0xBF62,-0.884765625,-0.880859375
16085,125,85,LP,open,-0xe.18p-4,-0xe.08p-4,-0xe.1p-4,0xBF61,-0.880859375,-0.876953125
16086,125,86,LP,open,-0xd.f8p-4,-0xd.e8p-4,-0xd.fp-4,0xBF5F,-0.873046875,-0.869140625
16087,125,87,LP,closed,-0xd.e8p-4,-0xd.d8p-4,-0xd.ep-4,0xBF5E,-0.869140625,-0.865234375
16088,125,88,LP,open,-0xd.d8p-4,-0xd.c8p-4,-0xd.dp-4,0xBF5D,-0.865234375,-0.861328125
16089,125,89,LP,closed,-0xd.c8p-4,-0xd.b8p-4,-0xd.cp-4,0xBF5C,-0.861328125,-0.857421875
16090,125,90,LP,open,-0xd.b8p-4,-0xd.a8p-4,-0xd.bp-4,0xBF5B,-0.857421875,-0.853515625
16091,125,91,LP,open,-0xd.98p-4,-0xd.88p-4,-0xd.9p-4,0xBF59,-0.849609375,-0.845703125
16092,125,92,LP,closed,-0xd.88p-4,-0xd.78p-4,-0xd.8p-4,0xBF58,-0.845703125,-0.841796875
16093,125,93,LP,open,-0xd.78p-4,-0xd.68p-4,-0xd.7p-4,0xBF57,-0.841796875,-0.837890625
16094,125,94,LP,closed,-0xd.68p-4,-0xd.58p-4,-0xd.6p-4,0xBF56,-0.837890625,-0.833984375
16095,125,95,LP,open,-0xd.58p-4,-0xd.48p-4,-0xd.5p-4,0xBF55,-0.833984375,-0.830078125
16096,125,96,LP,closed,-0xd.48p-4,-0xd.38p-4,-0xd.4p-4,0xBF54,-0.830078125,-0.826171875
16097,125,97,LP,closed,-0xd.28p-4,-0xd.18p-4,-0xd.2p-4,0xBF52,-0.822265625,-0.818359375
16098,125,98,LP,open,-0xd.18p-4,-0xd.08p-4,-0xd.1p-4,0xBF51,-0.818359375,-0.814453125
16099,125,99,LP,closed,-0xd.08p-4,-0xc.f8p-4,-0xdp-4,0xBF50,-0.814453125,-0.810546875
16100,125,100,LP,open,-0xc.f8p-4,-0xc.e8p-4,-0xc.fp-4,0xBF4F,-0.810546875,-0.806640625
16101,125,101,LP,closed,-0xc.e8p-4,-0xc.d8p-4,-0xc.ep-4,0xBF4E,-0.806640625,-0.802734375
16102,125,102,LP,open,-0xc.d8p-4,-0xc.c8p-4,-0xc.dp-4,0xBF4D,-0.802734375,-0.798828125
16103,125,103,LP,closed,-0xc.c8p-4,-0xc.b8p-4,-0xc.cp-4,0xBF4C,-0.798828125,-0.794921875
16104,125,104,LP,open,-0xc.b8p-4,-0xc.a8p-4,-0xc.bp-4,0xBF4B,-0.794921875,-0.791015625
16105,125,105,LP,closed,-0xc.a8p-4,-0xc.98p-4,-0xc.ap-4,0xBF4A,-0.791015625,-0.787109375
16106,125,106,LP,closed,-0xc.88p-4,-0xc.78p-4,-0xc.8p-4,0xBF48,-0.783203125,-0.779296875
16107,125,107,LP,open,-0xc.78p-4,-0xc.68p-4,-0xc.7p-4,0xBF47,-0.779296875,-0.775390625
16108,125,108,LP,closed,-0xc.68p-4,-0xc.58p-4,-0xc.6p-4,0xBF46,-0.775390625,-0.771484375
16109,125,109,LP,open,-0xc.58p-4,-0xc.48p-4,-0xc.5p-4,0xBF45,-0.771484375,-0.767578125
16110,125,110,LP,closed,-0xc.48p-4,-0xc.38p-4,-0xc.4p-4,0xBF44,-0.767578125,-0.763671875
16111,125,111,LP,open,-0xc.38p-4,-0xc.28p-4,-0xc.3p-4,0xBF43,-0.763671875,-0.759765625
16112,125,112,LP,closed,-0xc.28p-4,-0xc.18p-4,-0xc.2p-4,0xBF42,-0.759765625,-0.755859375
16113,125,113,LP,open,-0xc.18p-4,-0xc.08p-4,-0xc.1p-4,0xBF41,-0.755859375,-0.751953125
16114,125,114,LP,closed,-0xc.08p-4,-0xb.f8p-4,-0xcp-4,0xBF40,-0.751953125,-0.748046875
16115,125,115,LP,open,-0xb.f8p-4,-0xb.e8p-4,-0xb.fp-4,0xBF3F,-0.748046875,-0.744140625
16116,125,116,LP,closed,-0xb.e8p-4,-0xb.d8p-4,-0xb.ep-4,0xBF3E,-0.744140625,-0.740234375
16117,125,117,LP,open,-0xb.d8p-4,-0xb.c8p-4,-0xb.dp-4,0xBF3D,-0.740234375,-0.736328125
16118,125,118,LP,closed,-0xb.c8p-4,-0xb.b8p-4,-0xb.cp-4,0xBF3C,-0.736328125,-0.732421875
16119,125,119,LP,open,-0xb.b8p-4,-0xb.a8p-4,-0xb.bp-4,0xBF3B,-0.732421875,-0.728515625
16120,125,120,LP,closed,-0xb.a8p-4,-0xb.98p-4,-0xb.ap-4,0xBF3A,-0.728515625,-0.724609375
16121,125,121,LP,open,-0xb.98p-4,-0xb.88p-4,-0xb.9p-4,0xBF39,-0.724609375,-0.720703125
16122,125,122,LP,closed,-0xb.88p-4,-0xb.78p-4,-0xb.8p-4,0xBF38,-0.720703125,-0.716796875
16123,125,123,LP,closed,-0xb.68p-4,-0xb.58p-4,-0xb.6p-4,0xBF36,-0.712890625,-0.708984375
16124,125,124,LP,open,-0xb.58p-4,-0xb.48p-4,-0xb.5p-4,0xBF35,-0.708984375,-0.705078125
16125,125,125,LP,closed,-0xb.48p-4,-0xb.38p-4,-0xb.4p-4,0xBF34,-0.705078125,-0.701171875
16126,125,126,LP,open,-0xb.38p-4,-0xb.28p-4,-0xb.3p-4,0xBF33,-0.701171875,-0.697265625
16127,125,127,LP,closed,-0xb.28p-4,-0xb.18p-4,-0xb.2p-4,0xBF32,-0.697265625,-0.693359375
16128,126,0,LP,open,-0xb.18p-4,-0xb.08p-4,-0xb.1p-4,0xBF31,-0.693359375,-0.689453125
16129,126,1,LP,open,-0xa.f8p-4,-0xa.e8p-4,-0xa.fp-4,0xBF2F,-0.685546875,-0.681640625
16130,126,2,LP,open,-0xa.d8p-4,-0xa.c8p-4,-0xa.dp-4,0xBF2D,-0.677734375,-0.673828125
16131,126,3,LP,closed,-0xa.c8p-4,-0xa.b8p-4,-0xa.cp-4,0xBF2C,-0.673828125,-0.669921875
16132,126,4,LP,closed,-0xa.a8p-4,-0xa.98p-4,-0xa.ap-4,0xBF2A,-0.666015625,-0.662109375
16133,126,5,LP,closed,-0xa.88p-4,-0xa.78p-4,-0xa.8p-4,0xBF28,-0.658203125,-0.654296875
16134,126,6,LP,closed,-0xa.68p-4,-0xa.58p-4,-0xa.6p-4,0xBF26,-0.650390625,-0.646484375
16135,126,7,LP,closed,-0xa.48p-4,-0xa.38p-4,-0xa.4p-4,0xBF24,-0.642578125,-0.638671875
16136,126,8,LP,closed,-0xa.28p-4,-0xa.18p-4,-0xa.2p-4,0xBF22,-0.634765625,-0.630859375
16137,126,9,LP,closed,-0xa.08p-4,-0x9.f8p-4,-0xap-4,0xBF20,-0.626953125,-0.623046875
16138,126,10,LP,closed,-0x9.e8p-4,-0x9.d8p-4,-0x9.ep-4,0xBF1E,-0.619140625,-0.615234375
16139,126,11,LP,closed,-0x9.c8p-4,-0x9.b8p-4,-0x9.cp-4,0xBF1C,-0.611328125,-0.607421875
16140,126,12,LP,open,-0x9.b8p-4,-0x9.a8p-4,-0x9.bp-4,0xBF1B,-0.607421875,-0.603515625
16141,126,13,LP,open,-0x9.98p-4,-0x9.88p-4,-0x9.9p-4,0xBF19,-0.599609375,-0.595703125
16142,126,14,LP,open,-0x9.78p-4,-0x9.68p-4,-0x9.7p-4,0xBF17,-0.591796875,-0.587890625
16143,126,15,LP,open,-0x9.58p-4,-0x9.48p-4,-0x9.5p-4,0xBF15,-0.583984375,-0.580078125
16144,126,16,LP,open,-0x9.38p-4,-0x9.28p-4,-0x9.3p-4,0xBF13,-0.576171875,-0.572265625
16145,126,17,LP,closed,-0x9.28p-4,-0x9.18p-4,-0x9.2p-4,0xBF12,-0.572265625,-0.568359375
16146,126,18,LP,closed,-0x9.08p-4,-0x8.f8p-4,-0x9p-4,0xBF10,-0.564453125,-0.560546875
16147,126,19,LP,closed,-0x8.e8p-4,-0x8.d8p-4,-0x8.ep-4,0xBF0E,-0.556640625,-0.552734375
16148,126,20,LP,closed,-0x8.c8p-4,-0x8.b8p-4,-0x8.cp-4,0xBF0C,-0.548828125,-0.544921875
16149,126,21,LP,open,-0x8.b8p-4,-0x8.a8p-4,-0x8.bp-4,0xBF0B,-0.544921875,-0.541015625
16150,126,22,LP,open,-0x8.98p-4,-0x8.88p-4,-0x8.9p-4,0xBF09,-0.537109375,-0.533203125
16151,126,23,LP,open,-0x8.78p-4,-0x8.68p-4,-0x8.7p-4,0xBF07,-0.529296875,-0.525390625
16152,126,24,LP,open,-0x8.58p-4,-0x8.48p-4,-0x8.5p-4,0xBF05,-0.521484375,-0.517578125
16153,126,25,LP,closed,-0x8.48p-4,-0x8.38p-4,-0x8.4p-4,0xBF04,-0.517578125,-0.513671875
16154,126,26,LP,closed,-0x8.28p-4,-0x8.18p-4,-0x8.2p-4,0xBF02,-0.509765625,-0.505859375
16155,126,27,LP,closed,-0x8.08p-4,-0x7.fcp-4,-0x8p-4,0xBF00,-0.501953125,-0.4990234375
16156,126,28,LP,closed,-0x7.f4p-4,-0x7.ecp-4,-0x7.fp-4,0xBEFE,-0.4970703125,-0.4951171875
16157,126,29,LP,closed,-0x7.d4p-4,-0x7.ccp-4,-0x7.dp-4,0xBEFA,-0.4892578125,-0.4873046875
16158,126,30,LP,open,-0x7.bcp-4,-0x7.b4p-4,-0x7.b8p-4,0xBEF7,-0.4833984375,-0.4814453125
16159,126,31,LP,closed,-0x7.a4p-4,-0x7.9cp-4,-0x7.ap-4,0xBEF4,-0.4775390625,-0.4755859375
16160,126,32,LP,open,-0x7.8cp-4,-0x7.84p-4,-0x7.88p-4,0xBEF1,-0.4716796875,-0.4697265625
16161,126,33,LP,open,-0x7.6cp-4,-0x7.64p-4,-0x7.68p-4,0xBEED,-0.4638671875,-0.4619140625
16162,126,34,LP,closed,-0x7.54p-4,-0x7.4cp-4,-0x7.5p-4,0xBEEA,-0.4580078125,-0.4560546875
16163,126,35,LP,open,-0x7.3cp-4,-0x7.34p-4,-0x7.38p-4,0xBEE7,-0.4521484375,-0.4501953125
16164,126,36,LP,closed,-0x7.24p-4,-0x7.1cp-4,-0x7.2p-4,0xBEE4,-0.4462890625,-0.4443359375
16165,126,37,LP,open,-0x7.0cp-4,-0x7.04p-4,-0x7.08p-4,0xBEE1,-0.4404296875,-0.4384765625
16166,126,38,LP,closed,-0x6.f4p-4,-0x6.ecp-4,-0x6.fp-4,0xBEDE,-0.4345703125,-0.4326171875
16167,126,39,LP,open,-0x6.dcp-4,-0x6.d4p-4,-0x6.d8p-4,0xBEDB,-0.4287109375,-0.4267578125
16168,126,40,LP,closed,-0x6.c4p-4,-0x6.bcp-4,-0x6.cp-4,0xBED8,-0.4228515625,-0.4208984375
16169,126,41,LP,open,-0x6.acp-4,-0x6.a4p-4,-0x6.a8p-4,0xBED5,-0.4169921875,-0.4150390625
16170,126,42,LP,closed,-0x6.94p-4,-0x6.8cp-4,-0x6.9p-4,0xBED2,-0.4111328125,-0.4091796875
16171,126,43,LP,open,-0x6.7cp-4,-0x6.74p-4,-0x6.78p-4,0xBECF,-0.4052734375,-0.4033203125
16172,126,44,LP,closed,-0x6.64p-4,-0x6.5cp-4,-0x6.6p-4,0xBECC,-0.3994140625,-0.3974609375
16173,126,45,LP,open,-0x6.4cp-4,-0x6.44p-4,-0x6.48p-4,0xBEC9,-0.3935546875,-0.3916015625
16174,126,46,LP,closed,-0x6.34p-4,-0x6.2cp-4,-0x6.3p-4,0xBEC6,-0.3876953125,-0.3857421875
16175,126,47,LP,open,-0x6.1cp-4,-0x6.14p-4,-0x6.18p-4,0xBEC3,-0.3818359375,-0.3798828125
16176,126,48,LP,closed,-0x6.04p-4,-0x5.fcp-4,-0x6p-4,0xBEC0,-0.3759765625,-0.3740234375
16177,126,49,LP,open,-0x5.ecp-4,-0x5.e4p-4,-0x5.e8p-4,0xBEBD,-0.3701171875,-0.3681640625
16178,126,50,LP,closed,-0x5.d4p-4,-0x5.ccp-4,-0x5.dp-4,0xBEBA,-0.3642578125,-0.3623046875
16179,126,51,LP,open,-0x5.bcp-4,-0x5.b4p-4,-0x5.b8p-4,0xBEB7,-0.3583984375,-0.3564453125
16180,126,52,LP,closed,-0x5.a4p-4,-0x5.9cp-4,-0x5.ap-4,0xBEB4,-0.3525390625,-0.3505859375
16181,126,53,LP,closed,-0x5.94p-4,-0x5.8cp-4,-0x5.9p-4,0xBEB2,-0.3486328125,-0.3466796875
16182,126,54,LP,open,-0x5.7cp-4,-0x5.74p-4,-0x5.78p-4,0xBEAF,-0.3427734375,-0.3408203125
16183,126,55,LP,closed,-0x5.64p-4,-0x5.5cp-4,-0x5.6p-4,0xBEAC,-0.3369140625,-0.3349609375
16184,126,56,LP,open,-0x5.4cp-4,-0x5.44p-4,-0x5.48p-4,0xBEA9,-0.3310546875,-0.3291015625
16185,126,57,LP,closed,-0x5.34p-4,-0x5.2cp-4,-0x5.3p-4,0xBEA6,-0.3251953125,-0.3232421875
16186,126,58,LP,closed,-0x5.24p-4,-0x5.1cp-4,-0x5.2p-4,0xBEA4,-0.3212890625,-0.3193359375
16187,126,59,LP,open,-0x5.0cp-4,-0x5.04p-4,-0x5.08p-4,0xBEA1,-0.3154296875,-0.3134765625
16188,126,60,LP,closed,-0x4.f4p-4,-0x4.ecp-4,-0x4.fp-4,0xBE9E,-0.3095703125,-0.3076171875
16189,126,61,LP,open,-0x4.dcp-4,-0x4.d4p-4,-0x4.d8p-4,0xBE9B,-0.3037109375,-0.3017578125
16190,126,62,LP,open,-0x4.ccp-4,-0x4.c4p-4,-0x4.c8p-4,0xBE99,-0.2998046875,-0.2978515625
16191,126,63,LP,closed,-0x4.b4p-4,-0x4.acp-4,-0x4.bp-4,0xBE96,-0.2939453125,-0.2919921875
16192,126,64,LP,open,-0x4.9cp-4,-0x4.94p-4,-0x4.98p-4,0xBE93,-0.2880859375,-0.2861328125
16193,126,65,LP,open,-0x4.8cp-4,-0x4.84p-4,-0x4.88p-4,0xBE91,-0.2841796875,-0.2822265625
16194,126,66,LP,closed,-0x4.74p-4,-0x4.6cp-4,-0x4.7p-4,0xBE8E,-0.2783203125,-0.2763671875
16195,126,67,LP,open,-0x4.5cp-4,-0x4.54p-4,-0x4.58p-4,0xBE8B,-0.2724609375,-0.2705078125
16196,126,68,LP,open,-0x4.4cp-4,-0x4.44p-4,-0x4.48p-4,0xBE89,-0.2685546875,-0.2666015625
16197,126,69,LP,closed,-0x4.34p-4,-0x4.2cp-4,-0x4.3p-4,0xBE86,-0.2626953125,-0.2607421875
16198,126,70,LP,closed,-0x4.24p-4,-0x4.1cp-4,-0x4.2p-4,0xBE84,-0.2587890625,-0.2568359375
16199,126,71,LP,open,-0x4.0cp-4,-0x4.04p-4,-0x4.08p-4,0xBE81,-0.2529296875,-0.2509765625
16200,126,72,LP,open,-0x3.f6p-4,-0x3.f2p-4,-0x3.f4p-4,0xBE7D,-0.24755859375,-0.24658203125
16201,126,73,LP,closed,-0x3.e2p-4,-0x3.dep-4,-0x3.ep-4,0xBE78,-0.24267578125,-0.24169921875
16202,126,74,LP,open,-0x3.cep-4,-0x3.cap-4,-0x3.ccp-4,0xBE73,-0.23779296875,-0.23681640625
16203,126,75,LP,closed,-0x3.bap-4,-0x3.b6p-4,-0x3.b8p-4,0xBE6E,-0.23291015625,-0.23193359375
16204,126,76,LP,open,-0x3.a6p-4,-0x3.a2p-4,-0x3.a4p-4,0xBE69,-0.22802734375,-0.22705078125
16205,126,77,LP,open,-0x3.8ep-4,-0x3.8ap-4,-0x3.8cp-4,0xBE63,-0.22216796875,-0.22119140625
16206,126,78,LP,open,-0x3.7ep-4,-0x3.7ap-4,-0x3.7cp-4,0xBE5F,-0.21826171875,-0.21728515625
16207,126,79,LP,closed,-0x3.6ap-4,-0x3.66p-4,-0x3.68p-4,0xBE5A,-0.21337890625,-0.21240234375
16208,126,80,LP,open,-0x3.56p-4,-0x3.52p-4,-0x3.54p-4,0xBE55,-0.20849609375,-0.20751953125
